train_mean,train_st_dev,train_max,train_min,train_loss,train_epsilon,test_mean,test_st_dev,test_max,test_min
487.5,293.417364858,1100.0,200.0,0.0156138,0.1,220.0,124.899959968,500.0,100.0
456.25,254.874356301,900.0,100.0,0.0145785,0.1,500.0,200.0,900.0,100.0
531.25,168.518359534,800.0,200.0,0.0149213,0.1,310.0,137.477270849,600.0,100.0
418.75,166.653645325,700.0,200.0,0.0156913,0.1,560.0,210.713075057,1100.0,300.0
525.0,261.007662723,1000.0,100.0,0.0157028,0.1,450.0,128.452325787,700.0,200.0
512.5,242.061459138,1100.0,200.0,0.0160939,0.1,420.0,188.679622641,700.0,100.0
500.0,234.520787991,900.0,200.0,0.0158957,0.1,400.0,184.390889146,600.0,100.0
431.25,246.77608778,1000.0,100.0,0.0154832,0.1,330.0,148.660687473,700.0,200.0
531.25,246.77608778,1200.0,200.0,0.0147737,0.1,290.0,94.3398113206,500.0,100.0
462.5,186.664806538,900.0,200.0,0.0159806,0.1,230.0,126.885775404,500.0,100.0
450.0,237.170824513,1000.0,100.0,0.0160713,0.1,380.0,203.960780544,800.0,0.0
487.5,193.245310422,900.0,200.0,0.0151608,0.1,390.0,230.0,700.0,0.0
462.5,176.334199746,900.0,200.0,0.0163553,0.1,140.0,91.6515138991,300.0,0.0
400.0,242.383992871,1000.0,100.0,0.0159177,0.1,390.0,192.093727123,700.0,100.0
437.5,199.608992783,900.0,200.0,0.0145124,0.1,460.0,233.238075794,800.0,100.0
406.25,243.589690874,900.0,100.0,0.0146994,0.1,500.0,228.03508502,900.0,200.0
481.25,224.217388933,900.0,100.0,0.0143853,0.1,470.0,161.554944214,800.0,200.0
443.75,231.756202722,1000.0,200.0,0.0145708,0.1,280.0,146.969384567,500.0,0.0
462.5,202.715934253,800.0,100.0,0.0155055,0.1,460.0,174.355957742,800.0,100.0
418.75,203.773004836,700.0,100.0,0.0161899,0.1,520.0,302.654919008,900.0,100.0
487.5,208.791163606,900.0,100.0,0.0164543,0.1,350.0,150.0,700.0,100.0
500.0,244.948974278,1000.0,200.0,0.0149225,0.1,220.0,160.0,500.0,0.0
581.25,150.908705846,800.0,300.0,0.01598,0.1,380.0,198.997487421,700.0,0.0
481.25,229.724699369,900.0,200.0,0.0167327,0.1,250.0,120.415945788,500.0,100.0
481.25,162.86017776,800.0,200.0,0.0164286,0.1,490.0,144.568322948,700.0,300.0
437.5,205.775970414,700.0,100.0,0.0157168,0.1,460.0,205.91260282,900.0,200.0
443.75,141.283181943,800.0,200.0,0.0167211,0.1,670.0,245.153013443,1000.0,300.0
493.75,222.116945549,900.0,200.0,0.0172163,0.1,470.0,173.493515729,800.0,200.0
562.5,280.34576865,1200.0,200.0,0.0163115,0.1,310.0,164.012194669,700.0,100.0
543.75,244.869225302,1100.0,200.0,0.0163509,0.1,300.0,236.643191324,700.0,0.0
393.75,227.675070001,900.0,100.0,0.0170118,0.1,470.0,268.514431642,1200.0,200.0
500.0,229.128784748,1000.0,200.0,0.0163922,0.1,80.0,87.1779788708,200.0,0.0
562.5,261.904085497,1000.0,200.0,0.0161912,0.1,500.0,204.939015319,1000.0,200.0
