train_mean,train_st_dev,train_max,train_min,train_loss,train_epsilon,test_mean,test_st_dev,test_max,test_min
1110.41935484,257.175699222,1610.0,661.0,0.00821556,0.1,979.0,194.321897891,1581.0,756.0
1106.83870968,357.478544068,2116.0,596.0,0.0088449,0.1,1394.35,252.732125975,2106.0,1056.0
1050.29032258,318.981463062,1791.0,596.0,0.00872688,0.1,1537.75,341.680680607,2241.0,866.0
946.59375,281.269094838,1592.0,596.0,0.00929255,0.1,1303.9,220.760707555,1586.0,661.0
892.060606061,273.423186199,1586.0,596.0,0.00740643,0.1,666.0,21.7944947177,761.0,661.0
789.333333333,212.262939666,1586.0,596.0,0.00560559,0.1,843.5,280.278878976,1391.0,666.0
888.032258065,254.933069505,1591.0,656.0,0.00441546,0.1,1177.25,249.408675671,1711.0,861.0
870.6875,298.517005117,1836.0,596.0,0.00416413,0.1,786.0,0.0,786.0,786.0
861.0,238.880854193,1386.0,596.0,0.00466769,0.1,826.0,115.758369028,1286.0,786.0
850.53125,256.305967592,1581.0,596.0,0.00439613,0.1,862.25,160.131781667,1421.0,596.0
897.212121212,355.911187217,1916.0,596.0,0.00493322,0.1,810.0,104.613574645,1266.0,786.0
822.029411765,245.541955837,1611.0,596.0,0.00583836,0.1,669.25,45.1185937281,856.0,656.0
742.323529412,172.508775666,1321.0,596.0,0.00596986,0.1,658.0,8.71779788708,696.0,656.0
717.285714286,157.803416843,1286.0,596.0,0.00506557,0.1,731.0,257.754728376,1831.0,656.0
691.735294118,88.0852891582,986.0,596.0,0.00409045,0.1,661.0,21.7944947177,756.0,656.0
698.857142857,160.558337036,1406.0,596.0,0.00369388,0.1,681.0,62.2494979899,856.0,656.0
709.714285714,188.085629652,1481.0,596.0,0.00375395,0.1,656.0,0.0,656.0,656.0
672.25,85.0847208506,1056.0,596.0,0.00410794,0.1,660.75,1.08972473589,661.0,656.0
696.694444444,140.055310392,1391.0,596.0,0.00425683,0.1,691.0,57.2276157113,856.0,656.0
779.142857143,270.235573724,2231.0,596.0,0.00575662,0.1,926.0,126.885775404,1256.0,756.0
813.714285714,210.157569651,1321.0,496.0,0.0159476,0.1,914.75,247.799692292,1826.0,676.0
791.571428571,212.991520383,1291.0,596.0,0.0112721,0.1,805.75,177.196747995,1341.0,596.0
816.571428571,259.820738831,1851.0,596.0,0.0079491,0.1,841.0,71.4142842854,1071.0,771.0
837.0,177.521829644,1296.0,596.0,0.0067386,0.1,768.5,90.6021522923,966.0,661.0
822.0,229.557960313,1616.0,596.0,0.00748703,0.1,892.75,109.559059415,1061.0,596.0
798.351351351,224.761160468,1481.0,359.0,0.00735533,0.1,867.0,106.249705882,1166.0,656.0
734.888888889,134.46453018,1056.0,596.0,0.00701078,0.1,812.5,349.038321678,1846.0,596.0
713.5,183.066093104,1586.0,596.0,0.00558669,0.1,719.0,116.965806969,1166.0,596.0
748.263157895,220.913258068,1606.0,396.0,0.00420772,0.1,1198.15,91.9256629022,1321.0,989.0
726.416666667,147.084513687,1181.0,596.0,0.00508915,0.1,653.0,13.0766968306,656.0,596.0
