train_mean,train_st_dev,train_max,train_min,train_loss,train_epsilon,test_mean,test_st_dev,test_max,test_min
1258.73333333,674.762720435,2100.0,371.0,0.0490392,0.1,1427.35,661.60307398,2100.0,371.0
1120.35294118,619.816096177,2100.0,371.0,0.0399561,0.1,742.2,417.278036805,2099.0,371.0
1201.375,712.470163849,2100.0,435.0,0.0381525,0.1,935.95,572.315688672,2100.0,371.0
1085.94444444,650.3124439,2100.0,371.0,0.0423941,0.1,732.7,492.609794868,2100.0,371.0
1643.58333333,571.873158771,2100.0,563.0,0.0370184,0.1,1696.45,613.993279686,2100.0,371.0
1409.07142857,604.511664107,2100.0,499.0,0.0365521,0.1,1291.35,665.907671904,2100.0,435.0
1185.375,719.139579202,2100.0,435.0,0.0384864,0.1,1072.05,686.317381027,2100.0,371.0
1165.125,622.052738419,2100.0,467.0,0.0394172,0.1,1353.65,568.911265049,2100.0,371.0
1385.61538462,720.64997782,2100.0,371.0,0.0444491,0.1,1507.4,640.170164878,2100.0,371.0
1329.07142857,716.382226816,2100.0,371.0,0.0557746,0.1,1403.45,699.622360635,2100.0,371.0
1275.93333333,702.378100139,2100.0,435.0,0.0562058,0.1,919.9,485.470586133,2100.0,371.0
1048.31578947,664.815451451,2100.0,371.0,0.0410915,0.1,1243.35,736.39841628,2100.0,371.0
1153.25,668.913437972,2100.0,371.0,0.038273,0.1,569.4,205.299391134,1075.0,371.0
1630.08333333,589.707478096,2100.0,435.0,0.0412075,0.1,1385.75,703.562070822,2100.0,371.0
1821.4,560.909119198,2100.0,563.0,0.0417142,0.1,1750.9,597.609814176,2100.0,371.0
1788.27272727,442.336377743,2100.0,787.0,0.0490615,0.1,1225.7,633.908676388,2100.0,371.0
555.470588235,334.725544755,1939.0,371.0,0.924661,0.1,1116.75,654.318185213,2100.0,371.0
809.75,523.780985559,2100.0,371.0,0.0644295,0.1,617.4,242.250779153,1203.0,371.0
1249.375,737.212136617,2100.0,371.0,0.0485331,0.1,1144.05,631.863551331,2100.0,403.0
1071.72222222,697.987090421,2100.0,371.0,0.0476037,0.1,1129.6,666.406362515,2100.0,371.0
808.333333333,422.681387756,1939.0,371.0,0.040435,0.1,556.6,348.726597781,1907.0,371.0
845.318181818,598.456073148,2100.0,371.0,0.0504909,0.1,919.9,547.525424067,2100.0,371.0
897.636363636,542.72147096,2100.0,371.0,0.0381958,0.1,718.25,504.406074012,2100.0,371.0
901.954545455,564.724267173,2100.0,371.0,0.0415863,0.1,1217.65,694.170027803,2100.0,371.0
983.85,523.898203375,2100.0,371.0,0.0341336,0.1,599.8,207.451584713,1171.0,371.0
762.72,448.966771154,2100.0,371.0,0.0328738,0.1,809.45,505.798425759,2100.0,371.0
1034.78947368,644.28055175,2100.0,371.0,0.0373206,0.1,982.4,649.865093693,2100.0,371.0
906.0,587.702467645,2100.0,403.0,0.0402558,0.1,1091.15,637.069641013,2100.0,371.0
798.56,539.740536184,2100.0,371.0,0.0375309,0.1,577.4,220.655024869,1139.0,371.0
641.451612903,302.689326379,1555.0,371.0,0.0346508,0.1,596.6,311.153724066,1555.0,371.0
701.666666667,464.949220644,1843.0,371.0,0.0297891,0.1,849.45,513.068462781,2100.0,371.0
788.36,468.997388479,2100.0,371.0,0.0360862,0.1,502.2,152.764393757,851.0,371.0
942.619047619,638.459490917,2100.0,371.0,0.0339318,0.1,694.25,379.476333254,2100.0,371.0
683.035714286,439.595307571,2100.0,371.0,0.0330521,0.1,1156.85,675.350003702,2100.0,371.0
1024.63157895,573.417842555,2100.0,371.0,0.0359475,0.1,1515.45,739.193782103,2100.0,371.0
1324.86666667,607.96928285,2100.0,435.0,0.0397386,0.1,1323.35,686.187895186,2100.0,371.0
1139.11764706,550.316367016,2100.0,371.0,0.0385793,0.1,1395.3,612.123035018,2100.0,371.0
1016.21052632,577.722532103,2100.0,371.0,0.0371388,0.1,708.6,325.15448636,1683.0,371.0
1034.78947368,634.842506698,2100.0,371.0,0.0410164,0.1,1043.15,631.470765357,2100.0,435.0
1233.375,730.023105371,2100.0,371.0,0.0391586,0.1,1369.75,667.151247844,2100.0,371.0
1619.66666667,686.914033114,2100.0,371.0,0.0390865,0.1,1180.9,639.718602199,2100.0,531.0
1590.08333333,538.314879715,2100.0,531.0,0.0459839,0.1,1680.45,591.97613761,2100.0,563.0
1712.63636364,569.780224413,2100.0,371.0,0.0408521,0.1,1459.4,652.125325378,2100.0,371.0
1479.07692308,595.309675268,2100.0,435.0,0.0401624,0.1,1754.1,542.050818651,2100.0,691.0
1303.46666667,661.216239634,2100.0,371.0,0.0401254,0.1,1515.45,613.867288182,2100.0,435.0
1303.66666667,710.518277191,2100.0,435.0,0.0369074,0.1,1309.0,689.915647018,2100.0,403.0
1614.16666667,574.320298749,2100.0,531.0,0.039476,0.1,1180.75,616.595400161,2100.0,435.0
1400.0,724.073003423,2100.0,371.0,0.0389615,0.1,1288.05,595.770717223,2100.0,371.0
1402.69230769,567.857157637,2100.0,595.0,0.0369967,0.1,1606.65,545.666498422,2100.0,563.0
1603.5,684.756100131,2100.0,403.0,0.0482913,0.1,1553.9,634.440296639,2100.0,371.0
1303.46666667,592.728815639,2100.0,531.0,0.0483061,0.1,1420.85,595.485035496,2100.0,435.0
1135.41176471,680.922908207,2100.0,371.0,0.0411726,0.1,959.9,583.122705783,2100.0,371.0
1474.23076923,673.496405546,2100.0,435.0,0.0381061,0.1,1291.35,668.440145039,2100.0,371.0
1326.78571429,681.471326152,2100.0,435.0,0.0430342,0.1,1273.75,708.873745811,2100.0,371.0
1641.0,657.094107923,2100.0,435.0,0.0470413,0.1,1715.65,601.129792557,2100.0,371.0
1374.85714286,726.986230676,2100.0,371.0,0.0442628,0.1,1521.85,614.246145694,2100.0,371.0
1201.3125,670.74694546,2100.0,371.0,0.0386883,0.1,1059.25,636.516918471,2100.0,371.0
1051.63157895,637.80133935,2100.0,371.0,0.0385213,0.1,1073.6,625.391909126,2100.0,435.0
1513.61538462,597.455957625,2100.0,531.0,0.0364474,0.1,995.15,575.264919407,2100.0,403.0
971.15,597.910467796,2100.0,371.0,0.036374,0.1,942.25,573.720391393,2100.0,371.0
992.05,664.245397048,2100.0,371.0,0.0419197,0.1,751.85,415.903507439,2100.0,371.0
893.318181818,555.08872234,2100.0,371.0,0.0396078,0.1,1105.55,641.149941511,2100.0,371.0
1150.52941176,597.32030206,2100.0,435.0,0.0374511,0.1,1201.6,595.662857664,2100.0,371.0
1089.38888889,594.103819854,2100.0,371.0,0.0363883,0.1,1653.1,587.514842366,2100.0,371.0
1214.0,659.126593809,2100.0,403.0,0.0334769,0.1,705.4,301.288964285,1459.0,371.0
845.565217391,558.204405921,2100.0,371.0,0.0362805,0.1,1374.6,696.978794512,2100.0,371.0
1325.0,686.098632365,2100.0,371.0,0.0394557,0.1,1177.65,619.437831828,2100.0,435.0
1207.3125,655.046345569,2100.0,371.0,0.0408832,0.1,862.3,601.284300477,2100.0,371.0
1207.46666667,604.281156049,2100.0,371.0,0.0377645,0.1,1190.4,729.568530023,2100.0,371.0
1420.5,599.458177976,2100.0,499.0,0.05027,0.1,1331.3,644.980782659,2100.0,371.0
1397.71428571,718.965867317,2100.0,371.0,0.0478165,0.1,1819.8,589.638669017,2100.0,371.0
1211.86666667,705.046652515,2100.0,435.0,0.0417764,0.1,979.2,603.976290925,2100.0,371.0
681.103448276,379.699004642,2100.0,371.0,0.0499232,0.1,700.6,368.361561513,1875.0,371.0
788.36,451.646045483,2100.0,371.0,0.0395935,0.1,679.8,414.183727348,2099.0,371.0
950.142857143,520.795845726,2100.0,435.0,0.0342245,0.1,1091.2,583.194101479,2100.0,371.0
1094.05882353,650.454544289,2100.0,371.0,0.0408036,0.1,620.6,291.639229186,1619.0,371.0
925.714285714,449.898522194,2100.0,371.0,0.0429291,0.1,799.8,360.678471772,1683.0,371.0
955.1,543.633782983,2100.0,371.0,0.0429682,0.1,801.4,439.516825616,1715.0,371.0
950.238095238,661.092019008,2100.0,371.0,0.0395563,0.1,1104.0,619.90773507,2100.0,371.0
